"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"F","Harry Kane",11400,"TOT vs SOU 07:30AM ET",18.490,"TOT"
"M/F","Mohamed Salah",11200,"LIV vs SWA 12:30PM ET",17.336,"LIV"
"M/F","Philippe Coutinho",11100,"LIV vs SWA 12:30PM ET",16.650,"LIV"
"M/F","Eden Hazard",10400,"CHE vs BHA 10:00AM ET",12.360,"CHE"
"F","Alvaro Morata",10000,"CHE vs BHA 10:00AM ET",13.348,"CHE"
"F","Romelu Lukaku",9500,"MU vs BUR 10:00AM ET",13.741,"MU"
"M/F"," Willian",9300,"CHE vs BHA 10:00AM ET",7.491,"CHE"
"F","Zlatan Ibrahimovic",9300,"MU vs BUR 10:00AM ET",1.250,"MU"
"M/F","Sadio Mane",9200,"LIV vs SWA 12:30PM ET",13.475,"LIV"
"M/F","Roberto Firmino",9000,"LIV vs SWA 12:30PM ET",11.546,"LIV"
"M","Xherdan Shaqiri",8800,"HUD vs STK 10:00AM ET",13.793,"STK"
"F","Marcus Rashford",8800,"MU vs BUR 10:00AM ET",10.563,"MU"
"M","Christian Eriksen",8600,"TOT vs SOU 07:30AM ET",16.429,"TOT"
"M","Paul Pogba",8300,"MU vs BUR 10:00AM ET",12.077,"MU"
"F"," Richarlison",8200,"WAT vs LEI 10:00AM ET",13.014,"WAT"
"M/F","Anthony Martial",8000,"MU vs BUR 10:00AM ET",7.946,"MU"
"M/F"," Pedro",7800,"CHE vs BHA 10:00AM ET",7.852,"CHE"
"M/F","Son Heung-Min",7800,"TOT vs SOU 07:30AM ET",8.667,"TOT"
"M","Aaron Mooy",7600,"HUD vs STK 10:00AM ET",12.283,"HUD"
"M/F","Gylfi Sigurdsson",7500,"WBA vs EVE 10:00AM ET",11.219,"EVE"
"M","Manuel Lanzini",7400,"BOU vs WHU 10:00AM ET",9.135,"WHU"
"M","Dele Alli",7300,"TOT vs SOU 07:30AM ET",9.924,"TOT"
"M/F","Riyad Mahrez",7300,"WAT vs LEI 10:00AM ET",11.125,"LEI"
"M","Cesc Fabregas",7200,"CHE vs BHA 10:00AM ET",9.216,"CHE"
"F","Daniel Sturridge",7200,"LIV vs SWA 12:30PM ET",6.717,"LIV"
"F","Michy Batshuayi",7100,"CHE vs BHA 10:00AM ET",6.679,"CHE"
"M","Henrikh Mkhitaryan",7100,"MU vs BUR 10:00AM ET",9.388,"MU"
"M","Jesse Lingard",7000,"MU vs BUR 10:00AM ET",5.095,"MU"
"M/F","Wayne Rooney",7000,"WBA vs EVE 10:00AM ET",10.444,"EVE"
"M/F","Marko Arnautovic",6900,"BOU vs WHU 10:00AM ET",7.694,"WHU"
"M/F","Eric Maxim Choupo-Moting",6900,"HUD vs STK 10:00AM ET",7.500,"STK"
"M","Juan Mata",6800,"MU vs BUR 10:00AM ET",7.397,"MU"
"M/F","Yannick Bolasie",6800,"WBA vs EVE 10:00AM ET",0,"EVE"
"F","Dominic Solanke",6700,"LIV vs SWA 12:30PM ET",1.679,"LIV"
"F","Fernando Llorente",6700,"TOT vs SOU 07:30AM ET",1.281,"TOT"
"F","Javier Chicharito",6600,"BOU vs WHU 10:00AM ET",8.850,"WHU"
"M/F","Erik Lamela",6500,"TOT vs SOU 07:30AM ET",3.450,"TOT"
"M","Marcos Alonso",6400,"CHE vs BHA 10:00AM ET",8.620,"CHE"
"D","Kieran Trippier",6400,"TOT vs SOU 07:30AM ET",10.375,"TOT"
"M/F","Pascal Groß",6300,"CHE vs BHA 10:00AM ET",10.000,"BHA"
"F","Steve Mounie",6300,"HUD vs STK 10:00AM ET",6.125,"HUD"
"M/F","Johann Berg Gudmundsson",6300,"MU vs BUR 10:00AM ET",9.190,"BUR"
"D","Danny Rose",6300,"TOT vs SOU 07:30AM ET",9.464,"TOT"
"F","Callum Wilson",6200,"BOU vs WHU 10:00AM ET",7.563,"BOU"
"M/F","Victor Moses",6200,"CHE vs BHA 10:00AM ET",7.781,"CHE"
"M","James Milner",6200,"LIV vs SWA 12:30PM ET",7.463,"LIV"
"D","Ashley Young",6200,"MU vs BUR 10:00AM ET",9.141,"MU"
"M/F","Alex Oxlade-Chamberlain",6100,"LIV vs SWA 12:30PM ET",6.110,"LIV"
"M","Adam Lallana",6100,"LIV vs SWA 12:30PM ET",-0.250,"LIV"
"D","Daley Blind",6100,"MU vs BUR 10:00AM ET",10.839,"MU"
"M","Matt Phillips",6100,"WBA vs EVE 10:00AM ET",6.721,"WBA"
"F","Oumar Niasse",6100,"WBA vs EVE 10:00AM ET",9.750,"EVE"
"M/F","Michail Antonio",6000,"BOU vs WHU 10:00AM ET",7.125,"WHU"
"GK","Thibaut Courtois",6000,"CHE vs BHA 10:00AM ET",8.232,"CHE"
"D","Ben Davies",6000,"TOT vs SOU 07:30AM ET",9.071,"TOT"
"M","Chris Brunt",6000,"WBA vs EVE 10:00AM ET",6.982,"WBA"
"M","Junior Stanislas",5900,"BOU vs WHU 10:00AM ET",8.111,"BOU"
"GK","Willy Caballero",5900,"CHE vs BHA 10:00AM ET",0,"CHE"
"D","Trent Alexander-Arnold",5900,"LIV vs SWA 12:30PM ET",9.771,"LIV"
"F","Danny Ings",5900,"LIV vs SWA 12:30PM ET",0.250,"LIV"
"GK","David de Gea",5900,"MU vs BUR 10:00AM ET",13.480,"MU"
"F","Charlie Austin",5900,"TOT vs SOU 07:30AM ET",5.767,"SOU"
"M","Ryan Fraser",5800,"BOU vs WHU 10:00AM ET",6.525,"BOU"
"F","Joshua King",5800,"BOU vs WHU 10:00AM ET",8.566,"BOU"
"GK","Sergio Romero",5800,"MU vs BUR 10:00AM ET",6.500,"MU"
"D","Jose Holebas",5800,"WAT vs LEI 10:00AM ET",9.482,"WAT"
"F","Dominic Calvert-Lewin",5800,"WBA vs EVE 10:00AM ET",5.125,"EVE"
"D","Davide Zappacosta",5700,"CHE vs BHA 10:00AM ET",6.688,"CHE"
"M","Mame Biram Diouf",5700,"HUD vs STK 10:00AM ET",8.338,"STK"
"GK","Simon Mignolet",5700,"LIV vs SWA 12:30PM ET",5.694,"LIV"
"D","Serge Aurier",5700,"TOT vs SOU 07:30AM ET",9.563,"TOT"
"M","Georges-Kevin Nkoudou",5700,"TOT vs SOU 07:30AM ET",8.917,"TOT"
"F","Jamie Vardy",5700,"WAT vs LEI 10:00AM ET",8.184,"LEI"
"GK","Loris Karius",5600,"LIV vs SWA 12:30PM ET",7.500,"LIV"
"D","Andrew Robertson",5600,"LIV vs SWA 12:30PM ET",10.125,"LIV"
"GK","Hugo Lloris",5600,"TOT vs SOU 07:30AM ET",8.038,"TOT"
"M","Will Hughes",5600,"WAT vs LEI 10:00AM ET",8.650,"WAT"
"F","Sandro Ramirez",5600,"WBA vs EVE 10:00AM ET",4.375,"EVE"
"F","Andre Ayew",5500,"BOU vs WHU 10:00AM ET",5.083,"WHU"
"F","Laurent Depoitre",5500,"HUD vs STK 10:00AM ET",4.783,"HUD"
"GK","Michel Vorm",5500,"TOT vs SOU 07:30AM ET",10.000,"TOT"
"M/F","Demarai Gray",5500,"WAT vs LEI 10:00AM ET",6.456,"LEI"
"M","Ross Barkley",5500,"WBA vs EVE 10:00AM ET",0,"EVE"
"F","Jermain Defoe",5400,"BOU vs WHU 10:00AM ET",4.850,"BOU"
"F"," Jese",5400,"HUD vs STK 10:00AM ET",4.778,"STK"
"D","Antonio Valencia",5400,"MU vs BUR 10:00AM ET",7.207,"MU"
"M/F","Kevin Mirallas",5400,"WBA vs EVE 10:00AM ET",5.500,"EVE"
"D","Arthur Masuaku",5300,"BOU vs WHU 10:00AM ET",6.558,"WHU"
"F","Andy Carroll",5300,"BOU vs WHU 10:00AM ET",2.344,"WHU"
"M","Tom Ince",5300,"HUD vs STK 10:00AM ET",6.735,"HUD"
"M/F","Jay Rodriguez",5300,"WBA vs EVE 10:00AM ET",5.309,"WBA"
"F","Ademola Lookman",5300,"WBA vs EVE 10:00AM ET",4.389,"EVE"
"F","Diafra Sakho",5200,"BOU vs WHU 10:00AM ET",3.583,"WHU"
"M/F","Charly Musonda",5200,"CHE vs BHA 10:00AM ET",0.250,"CHE"
"F","Collin Quaner",5200,"HUD vs STK 10:00AM ET",4.325,"HUD"
"D","Alberto Moreno",5200,"LIV vs SWA 12:30PM ET",8.975,"LIV"
"M","Marc Albrighton",5200,"WAT vs LEI 10:00AM ET",7.375,"LEI"
"M/F","Nacer Chadli",5200,"WBA vs EVE 10:00AM ET",4.750,"WBA"
"F","Salomon Rondon",5200,"WBA vs EVE 10:00AM ET",4.607,"WBA"
"D","Abdul Rahman Baba",5100,"CHE vs BHA 10:00AM ET",0,"CHE"
"GK","Ben Foster",5100,"WBA vs EVE 10:00AM ET",3.853,"WBA"
"D","Aaron Cresswell",5000,"BOU vs WHU 10:00AM ET",8.153,"WHU"
"M/F","Jordon Ibe",5000,"BOU vs WHU 10:00AM ET",6.328,"BOU"
"GK","Jonas Lossl",5000,"HUD vs STK 10:00AM ET",5.500,"HUD"
"M","Rajiv van La Parra",5000,"HUD vs STK 10:00AM ET",6.000,"HUD"
"D","Luke Shaw",5000,"MU vs BUR 10:00AM ET",8.750,"MU"
"M/F","Shinji Okazaki",5000,"WAT vs LEI 10:00AM ET",7.529,"LEI"
"GK","Boaz Myhill",5000,"WBA vs EVE 10:00AM ET",0.000,"WBA"
"M/F","Hal Robson-Kanu",5000,"WBA vs EVE 10:00AM ET",5.031,"WBA"
"F","Benik Afobe",4900,"BOU vs WHU 10:00AM ET",1.577,"BOU"
"GK","Joel Coleman",4900,"HUD vs STK 10:00AM ET",0,"HUD"
"D","Nathaniel Clyne",4900,"LIV vs SWA 12:30PM ET",0,"LIV"
"D","Matteo Darmian",4900,"MU vs BUR 10:00AM ET",6.442,"MU"
"M","James Ward-Prowse",4900,"TOT vs SOU 07:30AM ET",4.946,"SOU"
"GK","Heurelho Gomes",4900,"WAT vs LEI 10:00AM ET",4.861,"WAT"
"M","Tom Cleverley",4900,"WAT vs LEI 10:00AM ET",6.132,"WAT"
"M/F","Troy Deeney",4900,"WAT vs LEI 10:00AM ET",3.615,"WAT"
"F","Nikola Vlasic",4900,"WBA vs EVE 10:00AM ET",5.107,"EVE"
"GK"," Adrian",4800,"BOU vs WHU 10:00AM ET",10.375,"WHU"
"F","Antonio Martinez",4800,"BOU vs WHU 10:00AM ET",0,"WHU"
"D","Cesar Azpilicueta",4800,"CHE vs BHA 10:00AM ET",7.510,"CHE"
"M","Dusan Tadic",4800,"TOT vs SOU 07:30AM ET",8.188,"SOU"
"GK","Orestis Karnezis",4800,"WAT vs LEI 10:00AM ET",3.571,"WAT"
"F","Stefano Okaka",4800,"WAT vs LEI 10:00AM ET",3.833,"WAT"
"GK","Asmir Begovic",4700,"BOU vs WHU 10:00AM ET",6.000,"BOU"
"GK","Joe Hart",4700,"BOU vs WHU 10:00AM ET",4.794,"WHU"
"D","Charlie Daniels",4700,"BOU vs WHU 10:00AM ET",7.139,"BOU"
"F","Lys Mousset",4700,"BOU vs WHU 10:00AM ET",1.542,"BOU"
"M","Joe Allen",4700,"HUD vs STK 10:00AM ET",5.300,"STK"
"F","Ashley Barnes",4700,"MU vs BUR 10:00AM ET",3.500,"BUR"
"F","Andre Gray",4700,"WAT vs LEI 10:00AM ET",3.444,"WAT"
"GK","Artur Boruc",4600,"BOU vs WHU 10:00AM ET",0,"BOU"
"M","Anthony Knockaert",4600,"CHE vs BHA 10:00AM ET",6.706,"BHA"
"F","Glenn Murray",4600,"CHE vs BHA 10:00AM ET",5.266,"BHA"
"GK","Jack Butland",4600,"HUD vs STK 10:00AM ET",4.313,"STK"
"F","Peter Crouch",4600,"HUD vs STK 10:00AM ET",3.143,"STK"
"D","Joseph Gomez",4600,"LIV vs SWA 12:30PM ET",5.833,"LIV"
"GK","Lee Grant",4500,"HUD vs STK 10:00AM ET",1.000,"STK"
"F","Saido Berahino",4500,"HUD vs STK 10:00AM ET",1.594,"STK"
"D","Demetri Mitchell",4500,"MU vs BUR 10:00AM ET",0,"MU"
"M","Marouane Fellaini",4500,"MU vs BUR 10:00AM ET",6.250,"MU"
"M","Abdoulaye Doucoure",4500,"WAT vs LEI 10:00AM ET",6.986,"WAT"
"F","Isaac Success",4500,"WAT vs LEI 10:00AM ET",0,"WAT"
"D","Allan Nyom",4500,"WBA vs EVE 10:00AM ET",6.233,"WBA"
"F","Tomer Hemed",4400,"CHE vs BHA 10:00AM ET",4.667,"BHA"
"F","Jordan Ayew",4400,"LIV vs SWA 12:30PM ET",7.875,"SWA"
"D","Kyle Walker-Peters",4400,"TOT vs SOU 07:30AM ET",4.333,"TOT"
"M/F","Nathan Redmond",4400,"TOT vs SOU 07:30AM ET",5.985,"SOU"
"D","Daryl Janmaat",4400,"WAT vs LEI 10:00AM ET",7.125,"WAT"
"GK","Jordan Pickford",4400,"WBA vs EVE 10:00AM ET",5.425,"EVE"
"D","Leighton Baines",4400,"WBA vs EVE 10:00AM ET",6.367,"EVE"
"M","James McClean",4400,"WBA vs EVE 10:00AM ET",5.013,"WBA"
"D","Adam Smith",4300,"BOU vs WHU 10:00AM ET",4.344,"BOU"
"M","Solly March",4300,"CHE vs BHA 10:00AM ET",5.250,"BHA"
"D","Martin Olsson",4300,"LIV vs SWA 12:30PM ET",6.813,"SWA"
"M","Renato Sanches",4300,"LIV vs SWA 12:30PM ET",5.722,"SWA"
"M","Emre Can",4300,"LIV vs SWA 12:30PM ET",6.604,"LIV"
"F","Tammy Abraham",4300,"LIV vs SWA 12:30PM ET",6.484,"SWA"
"F","Chris Wood",4300,"MU vs BUR 10:00AM ET",5.167,"BUR"
"D","Ryan Bertrand",4300,"TOT vs SOU 07:30AM ET",7.810,"SOU"
"GK","Kasper Schmeichel",4300,"WAT vs LEI 10:00AM ET",7.000,"LEI"
"D","Marvin Zeegelaar",4300,"WAT vs LEI 10:00AM ET",4.850,"WAT"
"M/F","Jerome Sinclair",4300,"WAT vs LEI 10:00AM ET",0,"WAT"
"GK","Joel Robles",4300,"WBA vs EVE 10:00AM ET",13.500,"EVE"
"GK","Maarten Stekelenburg",4300,"WBA vs EVE 10:00AM ET",4.000,"EVE"
"M","Tiemoue Bakayoko",4200,"CHE vs BHA 10:00AM ET",6.238,"CHE"
"D","Florent Hadergjonaj",4200,"HUD vs STK 10:00AM ET",4.821,"HUD"
"M","Tom Carroll",4200,"LIV vs SWA 12:30PM ET",6.188,"SWA"
"GK","Eldin Jakupovic",4200,"WAT vs LEI 10:00AM ET",0,"LEI"
"GK","Ben Hamer",4200,"WAT vs LEI 10:00AM ET",0,"LEI"
"D","Kiko Femenia",4200,"WAT vs LEI 10:00AM ET",6.533,"WAT"
"D","Ben Chilwell",4200,"WAT vs LEI 10:00AM ET",5.625,"LEI"
"F","Kelechi Iheanacho",4200,"WAT vs LEI 10:00AM ET",2.375,"LEI"
"D","Scott Malone",4100,"HUD vs STK 10:00AM ET",4.833,"HUD"
"D","Erik Pieters",4100,"HUD vs STK 10:00AM ET",4.944,"STK"
"M","Ramadan Sobhi",4100,"HUD vs STK 10:00AM ET",3.672,"STK"
"F","Joe Lolley",4100,"HUD vs STK 10:00AM ET",0.000,"HUD"
"D","Jon Flanagan",4100,"LIV vs SWA 12:30PM ET",0,"LIV"
"F","Wilfried Bony",4100,"LIV vs SWA 12:30PM ET",5.475,"SWA"
"D","Axel Tuanzebe",4100,"MU vs BUR 10:00AM ET",3.250,"MU"
"F","Sam Vokes",4100,"MU vs BUR 10:00AM ET",4.203,"BUR"
"F","Manolo Gabbiadini",4100,"TOT vs SOU 07:30AM ET",3.132,"SOU"
"D","Christian Fuchs",4100,"WAT vs LEI 10:00AM ET",5.442,"LEI"
"F","Islam Slimani",4100,"WAT vs LEI 10:00AM ET",2.354,"LEI"
"D","Jonjoe Kenny",4100,"WBA vs EVE 10:00AM ET",5.385,"EVE"
"M","Oliver Burke",4100,"WBA vs EVE 10:00AM ET",2.000,"WBA"
"D","David Luiz",4000,"CHE vs BHA 10:00AM ET",7.042,"CHE"
"D","Chris Lowe",4000,"HUD vs STK 10:00AM ET",4.750,"HUD"
"D","Josh Tymon",4000,"HUD vs STK 10:00AM ET",4.000,"STK"
"GK","Nick Pope",4000,"MU vs BUR 10:00AM ET",10.800,"BUR"
"M/F","Jonathan Walters",4000,"MU vs BUR 10:00AM ET",0.875,"BUR"
"D","Cedric Soares",4000,"TOT vs SOU 07:30AM ET",7.237,"SOU"
"M","Steven Davis",4000,"TOT vs SOU 07:30AM ET",6.773,"SOU"
"F","Shane Long",4000,"TOT vs SOU 07:30AM ET",4.028,"SOU"
"M/F","Andre Carrillo",4000,"WAT vs LEI 10:00AM ET",3.917,"WAT"
"F","Ahmed Musa",4000,"WAT vs LEI 10:00AM ET",0.500,"LEI"
"D","Cuco Martina",4000,"WBA vs EVE 10:00AM ET",4.729,"EVE"
"M","Andrew Surman",3900,"BOU vs WHU 10:00AM ET",6.313,"BOU"
"D","Markus Suttner",3900,"CHE vs BHA 10:00AM ET",4.833,"BHA"
"M/F","Jamie Murphy",3900,"CHE vs BHA 10:00AM ET",2.125,"BHA"
"D","Tommy Smith",3900,"HUD vs STK 10:00AM ET",5.518,"HUD"
"GK","Tom Heaton",3900,"MU vs BUR 10:00AM ET",3.250,"BUR"
"GK","Anders Lindegaard",3900,"MU vs BUR 10:00AM ET",0,"BUR"
"D","Eric Bailly",3900,"MU vs BUR 10:00AM ET",5.365,"MU"
"GK","Fraser Forster",3900,"TOT vs SOU 07:30AM ET",7.111,"SOU"
"D","Jeremy Pied",3900,"TOT vs SOU 07:30AM ET",9.500,"SOU"
"M","Sofiane Boufal",3900,"TOT vs SOU 07:30AM ET",4.946,"SOU"
"F","Leonardo Ulloa",3900,"WAT vs LEI 10:00AM ET",0.000,"LEI"
"D","Pablo Zabaleta",3800,"BOU vs WHU 10:00AM ET",5.868,"WHU"
"M","Marc Pugh",3800,"BOU vs WHU 10:00AM ET",4.000,"BOU"
"D","Antonio Rudiger",3800,"CHE vs BHA 10:00AM ET",4.342,"CHE"
"F","Jose Izquierdo",3800,"CHE vs BHA 10:00AM ET",3.857,"BHA"
"GK","Alex McCarthy",3800,"TOT vs SOU 07:30AM ET",0,"SOU"
"M","Grzegorz Krychowiak",3800,"WBA vs EVE 10:00AM ET",5.679,"WBA"
"D","Sam Byram",3700,"BOU vs WHU 10:00AM ET",0,"WHU"
"GK","Mat Ryan",3700,"CHE vs BHA 10:00AM ET",5.979,"BHA"
"D","Ales Mateju",3700,"CHE vs BHA 10:00AM ET",0,"BHA"
"M/F","Luciano Narsingh",3700,"LIV vs SWA 12:30PM ET",2.333,"SWA"
"D","Stephen Ward",3700,"MU vs BUR 10:00AM ET",6.924,"BUR"
