"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"F","Harry Kane",11000,"BUR vs TOT 12:30PM ET",18.490,"TOT"
"M/F","Kevin De Bruyne",10700,"MCI vs BOU 10:00AM ET",14.861,"MCI"
"F","Sergio Aguero",10500,"MCI vs BOU 10:00AM ET",15.111,"MCI"
"M/F","Raheem Sterling",9900,"MCI vs BOU 10:00AM ET",12.792,"MCI"
"M/F","Leroy Sane",9600,"MCI vs BOU 10:00AM ET",11.033,"MCI"
"M","Christian Eriksen",9400,"BUR vs TOT 12:30PM ET",16.429,"TOT"
"M","Xherdan Shaqiri",9300,"STK vs WBA 10:00AM ET",13.793,"STK"
"M/F","Gabriel Jesus",9200,"MCI vs BOU 10:00AM ET",9.462,"MCI"
"M","David Silva",8800,"MCI vs BOU 10:00AM ET",10.771,"MCI"
"F"," Richarlison",8500,"BHA vs WAT 10:00AM ET",13.014,"WAT"
"M/F","Son Heung-Min",8300,"BUR vs TOT 12:30PM ET",8.667,"TOT"
"M/F","Wilfried Zaha",8100,"SWA vs CRY 10:00AM ET",11.115,"CRY"
"M","Dele Alli",7900,"BUR vs TOT 12:30PM ET",9.924,"TOT"
"M","Manuel Lanzini",7600,"WHU vs NEW 10:00AM ET",9.135,"WHU"
"M","Aaron Mooy",7500,"SOU vs HUD 10:00AM ET",12.283,"HUD"
"M/F","Bernardo Silva",7400,"MCI vs BOU 10:00AM ET",4.817,"MCI"
"M","Matt Ritchie",7300,"WHU vs NEW 10:00AM ET",10.671,"NEW"
"M/F","Andros Townsend",7200,"SWA vs CRY 10:00AM ET",8.764,"CRY"
"F","Fernando Llorente",7100,"BUR vs TOT 12:30PM ET",1.281,"TOT"
"M/F","Pascal Groß",7000,"BHA vs WAT 10:00AM ET",10.000,"BHA"
"M/F","Erik Lamela",6900,"BUR vs TOT 12:30PM ET",3.450,"TOT"
"F","Charlie Austin",6900,"SOU vs HUD 10:00AM ET",5.767,"SOU"
"M","Yohan Cabaye",6800,"SWA vs CRY 10:00AM ET",9.333,"CRY"
