Date, MatchId, home_team_id, home_team_name, away_team_id, away_team_name, half_time_score,, full_time_score,, home_prob, draw_prob, away_prob, home_odds, draw_odds, away_odds, odds_home_prob, odds_draw_prob, odds_away_prob, model_pred, odds_pred, model_correct?, odds_correct?, payout
14/08/2016 16:00:00,1080506,13,Arsenal,26,Liverpool,1,1,3,4,0.450414985,0.210650021,0.338934993,2.4,3.5,3.1,0.406519296,0.278756088,0.314724616,0,0,0,0,0
14/08/2016 13:30:00,1080507,183,Bournemouth,32,Man United,0,1,1,3,0.397266094,0.226271996,0.37646191,4.75,3.6,1.85,0.204624011,0.269990015,0.525385974,0,2,0,1,0
13/08/2016 15:00:00,1080508,184,Burnley,259,Swansea,0,0,0,1,0.343725832,0.264640416,0.391633752,2.4,3.3,3.25,0.405558707,0.294951787,0.299489507,2,0,1,0,3.25
15/08/2016 20:00:00,1080509,15,Chelsea,29,West Ham,0,0,2,1,0.545337405,0.211192466,0.243470129,1.65,4,6,0.592592593,0.244444444,0.162962963,0,0,1,1,1.65
13/08/2016 15:00:00,1080510,162,Crystal Palace,175,West Brom,0,0,0,1,0.476309249,0.261563857,0.262126894,2,3.3,4.5,0.487684729,0.295566502,0.216748768,0,0,0,0,0
13/08/2016 15:00:00,1080511,31,Everton,30,Tottenham,1,0,1,1,0.404608161,0.228092795,0.367299044,3.2,3.4,2.4,0.305389222,0.28742515,0.407185629,0,2,0,0,0
13/08/2016 12:30:00,1080512,214,Hull,14,Leicester,1,0,2,1,0.441309136,0.259592748,0.299098117,4.5,3.6,1.91,0.217107133,0.271383916,0.511508951,0,2,1,0,4.5
13/08/2016 17:30:00,1080513,167,Man City,16,Sunderland,1,0,2,1,0.644057485,0.189802993,0.166139522,1.25,6.5,15,0.783919598,0.150753769,0.065326633,0,0,1,1,1.25
13/08/2016 15:00:00,1080514,21,Middlesbrough,96,Stoke,1,0,1,1,0.462116941,0.243469231,0.294413828,2.38,3.2,3.4,0.409207161,0.304347826,0.286445013,0,0,0,0,0
13/08/2016 15:00:00,1080515,18,Southampton,27,Watford,0,1,1,1,0.517805693,0.230708104,0.251486203,1.8,3.75,5,0.543478261,0.260869565,0.195652174,0,0,0,0,0
21/05/2017 15:00:00,1080516,13,Arsenal,31,Everton,2,0,3,1,0.521322562,0.211593925,0.267083513,1.45,5,7.5,0.674157303,0.195505618,0.130337079,0,0,1,1,1.45
21/05/2017 15:00:00,1080517,184,Burnley,29,West Ham,1,1,1,2,0.365093526,0.259825588,0.375080886,2.45,3.5,3,0.397350993,0.278145695,0.324503311,2,0,1,0,3
21/05/2017 15:00:00,1080518,15,Chelsea,16,Sunderland,1,1,5,1,0.603607092,0.208509461,0.187883446,1.14,9,23,0.850172499,0.107688517,0.042138985,0,0,1,1,1.14
21/05/2017 15:00:00,1080519,214,Hull,30,Tottenham,0,3,1,7,0.336684178,0.236757385,0.426558437,7,4.75,1.5,0.14004914,0.206388206,0.653562654,2,2,1,1,1.5
21/05/2017 15:00:00,1080520,14,Leicester,183,Bournemouth,0,1,1,1,0.36330234,0.252164072,0.384533588,2,3.6,4,0.486486486,0.27027027,0.243243243,2,0,0,0,0
21/05/2017 15:00:00,1080521,26,Liverpool,21,Middlesbrough,1,0,3,0,0.553712974,0.209197899,0.237089127,1.14,9,23,0.850172499,0.107688517,0.042138985,0,0,1,1,1.14
21/05/2017 15:00:00,1080522,32,Man United,162,Crystal Palace,2,0,2,0,0.548941587,0.217833758,0.233224655,2.5,3.3,3.1,0.390011437,0.29546321,0.314525353,0,0,1,1,2.5
21/05/2017 15:00:00,1080523,18,Southampton,96,Stoke,0,0,0,1,0.490167211,0.234396468,0.27543632,1.8,3.8,4.75,0.539772727,0.255681818,0.204545455,0,0,0,0,0
21/05/2017 15:00:00,1080524,259,Swansea,175,West Brom,0,1,2,1,0.51127829,0.248013955,0.240707755,2.1,3.5,3.75,0.462962963,0.277777778,0.259259259,0,0,1,1,2.1
21/05/2017 16.00.00,1080525,27,Watford,167,Man City,0,4,0,5,0.295886066,0.222092831,0.482021103,11,6,1.3,0.088535755,0.162315551,0.749148695,2,2,1,1,1.3
20/08/2016 17:30:00,1080526,14,Leicester,13,Arsenal,0,0,0,0,0.302623885,0.234351949,0.463024166,2.88,3.6,2.5,0.338753388,0.27100271,0.390243902,2,2,0,0,0
12/3/17 16:00,1080527,26,Liverpool,184,Burnley,1,1,2,1,0.629365,0.200611179,0.170023821,1.25,6.5,14,0.780278671,0.150053591,0.069667738,0,0,1,1,1.25
19/08/2016 20:00:00,1080528,32,Man United,18,Southampton,1,0,2,0,0.498247178,0.217407051,0.284345771,1.53,4.2,7.5,0.637638914,0.232282747,0.130078338,0,0,1,1,1.53
20/08/2016 12:30:00,1080529,96,Stoke,167,Man City,0,2,1,4,0.321213593,0.223485032,0.455301375,5.5,3.8,1.73,0.177728514,0.257238639,0.565032848,2,2,1,1,1.73
21/08/2016 13:30:00,1080530,16,Sunderland,21,Middlesbrough,0,2,1,2,0.33770489,0.260113852,0.402181258,2.55,3.2,3.1,0.381758707,0.30421397,0.314027323,2,0,1,0,3.1
20/08/2016 15:00:00,1080531,259,Swansea,214,Hull,0,0,0,2,0.469618819,0.245103834,0.285277347,1.8,3.6,5.25,0.542635659,0.271317829,0.186046512,0,0,0,0,0
20/08/2016 15:00:00,1080532,30,Tottenham,162,Crystal Palace,0,0,1,0,0.547617687,0.219496321,0.232885992,1.45,4.75,8,0.672715202,0.205355167,0.12192963,0,0,1,1,1.45
20/08/2016 15:00:00,1080533,27,Watford,15,Chelsea,0,0,1,2,0.322233216,0.23372056,0.444046224,5.5,3.8,1.73,0.177728514,0.257238639,0.565032848,2,2,1,1,1.73
20/08/2016 15:00:00,1080534,175,West Brom,31,Everton,1,1,1,2,0.319669287,0.256481854,0.423848859,3,3.25,2.6,0.325,0.3,0.375,2,2,1,1,2.6
21/08/2016 16:00:00,1080535,29,West Ham,183,Bournemouth,0,0,1,0,0.409728486,0.23701714,0.353254374,1.95,3.75,4,0.498132005,0.259028643,0.242839352,0,0,1,1,1.95
27/08/2016 15:00:00,1080536,15,Chelsea,184,Burnley,2,0,3,0,0.599073547,0.211557079,0.189369374,1.25,5.5,15,0.76300578,0.173410405,0.063583815,0,0,1,1,1.25
27/08/2016 15:00:00,1080537,162,Crystal Palace,183,Bournemouth,0,1,1,1,0.389402776,0.247590835,0.363006389,2.3,3.2,3.3,0.413955312,0.29753038,0.288514308,0,0,0,0,0
27/08/2016 15:00:00,1080538,31,Everton,96,Stoke,0,0,1,0,0.487669206,0.235481222,0.276849571,1.73,3.6,5.25,0.552461963,0.265488666,0.182049371,0,0,1,1,1.73
27/08/2016 17:30:00,1080539,214,Hull,32,Man United,0,0,0,1,0.337830755,0.23512657,0.427042675,8,4.1,1.44,0.117553361,0.229372412,0.653074227,2,2,1,1,1.44
27/08/2016 15:00:00,1080540,14,Leicester,259,Swansea,1,0,2,1,0.375233037,0.259518299,0.365248664,1.73,3.6,5.25,0.552461963,0.265488666,0.182049371,0,0,1,1,1.73
28/08/2016 16:00:00,1080541,167,Man City,29,West Ham,2,0,3,1,0.58702253,0.195691064,0.217286406,1.25,6,11,0.756446991,0.157593123,0.085959885,0,0,1,1,1.25
